feature,importance
tenure,0.12467345846626479
TotalCharges,0.10844056673179357
is_month_to_month,0.08440518233734166
estimated_annual_revenue,0.06846806434093913
MonthlyCharges,0.06722858479593215
avg_revenue_per_month,0.06495128992618919
has_fiber,0.04742281814065981
InternetService_Fiber optic,0.041913143969538186
PaymentMethod_Electronic check,0.0365596670030535
Contract_Two year,0.03448383961404354
contract_risk_band_Low Risk,0.029793914637733808
tenure_band_49+ Months,0.025679948519767792
Contract_One year,0.01624103579579465
PaperlessBilling,0.016157810681289596
service_count,0.015545703755089086
InternetService_No,0.015498380801735018
contract_risk_band_Moderate Risk,0.01481588244833837
OnlineSecurity_flag,0.013124379706563171
OnlineSecurity,0.012394371778312955
TechSupport_flag,0.011820130241308369
gender,0.009440457535265841
TechSupport,0.009114724046525444
tenure_band_25-48 Months,0.008741528143586452
monthly_charge_band_Low,0.008231619482477292
Partner,0.008142501851770389
Dependents,0.007650701946358341
OnlineBackup_flag,0.007647536883652776
MultipleLines_flag,0.007272086743019749
OnlineBackup,0.006751455524509115
MultipleLines,0.006690306040168276
is_senior,0.006465813857555476
SeniorCitizen,0.00636014841680985
StreamingTV_flag,0.0056379135125537785
StreamingMovies_flag,0.005552553319239372
PaymentMethod_Credit card (automatic),0.0055505885555768636
DeviceProtection,0.005514722830743084
StreamingTV,0.005403675398244673
StreamingMovies,0.005166153397601412
DeviceProtection_flag,0.0050408050018091784
PaymentMethod_Mailed check,0.004717324647156504
tenure_band_13-24 Months,0.004346877453779335
PhoneService,0.0042584391529643766
monthly_charge_band_Medium,0.003993709095087173
monthly_charge_band_Very High,0.002690183471856787
